INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(0,TO_DATE('1977/03/13', 'yyyy/mm/dd'),'mxsbaylw xcwbyyfy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(37,TO_DATE('1996/07/19', 'yyyy/mm/dd'),'mhstlh ulwltf','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(38,TO_DATE('1995/08/13', 'yyyy/mm/dd'),'lohdzdmbkarrkg wmeqxkznomwsam','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(39,TO_DATE('1974/10/20', 'yyyy/mm/dd'),'cadjkbwwep bfvfakffbi','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(40,TO_DATE('1990/09/16', 'yyyy/mm/dd'),'slljypihxh wucfmsrxyp','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(41,TO_DATE('1993/01/30', 'yyyy/mm/dd'),'zdtmaamybafgm kjlukgngwbors','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(42,TO_DATE('1978/06/14', 'yyyy/mm/dd'),'zvdcu omthz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(43,TO_DATE('1995/02/30', 'yyyy/mm/dd'),'iuarugtb fqtwroeg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(44,TO_DATE('1973/01/17', 'yyyy/mm/dd'),'bnekqcxtkonbe syrzicqeidjdz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(45,TO_DATE('1981/12/29', 'yyyy/mm/dd'),'hfatmmwirlzb lghpmjajjcwk','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(46,TO_DATE('1982/08/23', 'yyyy/mm/dd'),'lrbos fuwnh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(47,TO_DATE('1982/11/05', 'yyyy/mm/dd'),'jnuaf sgdip','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(48,TO_DATE('1972/08/09', 'yyyy/mm/dd'),'qfrkg lgjdt','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(49,TO_DATE('1986/10/03', 'yyyy/mm/dd'),'xklubziiufn dcwbnhlueyn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(50,TO_DATE('1974/09/26', 'yyyy/mm/dd'),'odipdiiwgpcsyn vsugbbiqbyafxg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(51,TO_DATE('1989/03/01', 'yyyy/mm/dd'),'jhwqrcb gnksych','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(52,TO_DATE('1990/04/26', 'yyyy/mm/dd'),'xfqhgi urcylm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(53,TO_DATE('1980/08/01', 'yyyy/mm/dd'),'edbbieoqrbsddm gvwrqnrbyzboon','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(54,TO_DATE('1993/12/28', 'yyyy/mm/dd'),'drrtkvrwjj dcmydebsml','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(55,TO_DATE('1987/11/09', 'yyyy/mm/dd'),'pvswx ebimj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(56,TO_DATE('1991/03/25', 'yyyy/mm/dd'),'vhzilsd zwaecrj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(57,TO_DATE('1986/10/02', 'yyyy/mm/dd'),'pzajrzcl syskumpz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(58,TO_DATE('1997/03/10', 'yyyy/mm/dd'),'qtdklfuensjih kbyqpcdqshaqh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(59,TO_DATE('1971/04/04', 'yyyy/mm/dd'),'gsrlques awwsmnlo','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(60,TO_DATE('1997/04/24', 'yyyy/mm/dd'),'iuqqzlphjeqwn qksrybjaiqvrv','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(61,TO_DATE('1990/06/27', 'yyyy/mm/dd'),'jmdwg cvrqg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(62,TO_DATE('1971/10/23', 'yyyy/mm/dd'),'fahkpyrprdx bfadacorovq','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(63,TO_DATE('1971/07/28', 'yyyy/mm/dd'),'zqwpenqcgo kjeduiyrcf','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(64,TO_DATE('1973/07/02', 'yyyy/mm/dd'),'sosciiibjagbi rlonkfwdkvnzz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(65,TO_DATE('1988/06/25', 'yyyy/mm/dd'),'gsdudkydx bqgdkjudk','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(66,TO_DATE('1979/09/24', 'yyyy/mm/dd'),'gczlmrbhxhlfhk wddrnplpmchczu','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(67,TO_DATE('1983/07/12', 'yyyy/mm/dd'),'xnfzagzfsy onwavblvzm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(68,TO_DATE('1984/09/26', 'yyyy/mm/dd'),'yilzss mgooyx','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(69,TO_DATE('1992/11/05', 'yyyy/mm/dd'),'ihgiwfx tdaetcq','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(70,TO_DATE('1980/06/01', 'yyyy/mm/dd'),'xwmccig yqugzxw','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(71,TO_DATE('1986/02/29', 'yyyy/mm/dd'),'jipcjuj ytrwifu','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(72,TO_DATE('1979/10/17', 'yyyy/mm/dd'),'mjrmpxdub jgkfxghns','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(73,TO_DATE('1987/07/24', 'yyyy/mm/dd'),'zhcdxdsdsgui lqiurqqfgkwk','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(74,TO_DATE('1985/07/18', 'yyyy/mm/dd'),'shpbjhetor vrwksqaldm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(75,TO_DATE('1992/02/12', 'yyyy/mm/dd'),'urfuj dowbs','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(76,TO_DATE('1990/09/03', 'yyyy/mm/dd'),'gejibsdieuo brzkmetkktw','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(77,TO_DATE('1990/05/27', 'yyyy/mm/dd'),'nzjavrk mjjykyh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(78,TO_DATE('1995/03/10', 'yyyy/mm/dd'),'ugxnhfjxykgtft fsueqctspldzny','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(79,TO_DATE('1986/09/25', 'yyyy/mm/dd'),'ndmrtj xsddxa','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(80,TO_DATE('1980/03/15', 'yyyy/mm/dd'),'pewlqjywtenq ybengurnogqd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(81,TO_DATE('1985/12/03', 'yyyy/mm/dd'),'npwklapucuc xgkgntzdjyb','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(82,TO_DATE('1996/09/17', 'yyyy/mm/dd'),'bekfzr sglpsr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(83,TO_DATE('1977/07/17', 'yyyy/mm/dd'),'krmicujsvny pezafeeoeqp','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(84,TO_DATE('1996/05/08', 'yyyy/mm/dd'),'ruhqewpmnwtjn deekomoixujqc','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(85,TO_DATE('1996/08/27', 'yyyy/mm/dd'),'uyree yikqk','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(86,TO_DATE('1977/07/29', 'yyyy/mm/dd'),'tglgqurnt dellmdcvt','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(87,TO_DATE('1975/07/12', 'yyyy/mm/dd'),'hxjujfsdi tgugapudh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(88,TO_DATE('1998/02/05', 'yyyy/mm/dd'),'hkizgavmsvrkcj ozlnupiyhugros','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(89,TO_DATE('1992/12/08', 'yyyy/mm/dd'),'ufxzgynapugg jjoiftghjmcs','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(90,TO_DATE('1977/05/08', 'yyyy/mm/dd'),'nzjvyv xehpfw','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(91,TO_DATE('1977/09/28', 'yyyy/mm/dd'),'caqkb sovrn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(92,TO_DATE('1976/07/13', 'yyyy/mm/dd'),'tegtskuzipqv lgeutnsubaec','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(93,TO_DATE('1998/04/08', 'yyyy/mm/dd'),'cuwrhw xnpaiz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(94,TO_DATE('1973/04/19', 'yyyy/mm/dd'),'bkmekuz zxothiz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(95,TO_DATE('1998/06/10', 'yyyy/mm/dd'),'iyzewqxzbzign sjfscnlyfhhax','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(96,TO_DATE('1988/07/02', 'yyyy/mm/dd'),'gbbswxcvl nubqzvbbh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(97,TO_DATE('1972/04/14', 'yyyy/mm/dd'),'wmubxpnjen eyurlsjfhv','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(98,TO_DATE('1982/09/19', 'yyyy/mm/dd'),'xveuixt rkparfe','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(99,TO_DATE('1989/07/25', 'yyyy/mm/dd'),'rteeoel zwpvrez','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(100,TO_DATE('1995/03/23', 'yyyy/mm/dd'),'nmuaifwzg fgyphbdvh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(101,TO_DATE('1993/08/22', 'yyyy/mm/dd'),'mkelvyqg bkvkuqgm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(102,TO_DATE('1992/07/21', 'yyyy/mm/dd'),'knjcuqydm lhocbkorp','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(103,TO_DATE('1977/12/03', 'yyyy/mm/dd'),'grnjni pcfdpg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(104,TO_DATE('1990/11/02', 'yyyy/mm/dd'),'uzzgzymvgnr qyuopzjuzja','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(105,TO_DATE('1995/03/13', 'yyyy/mm/dd'),'hvyvhxxlvj bncylmfeki','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(106,TO_DATE('1993/05/27', 'yyyy/mm/dd'),'tnljfjvkplfzjg tecoflfubrcynt','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(107,TO_DATE('1984/01/20', 'yyyy/mm/dd'),'jmtzmsxhabqm vkkacvhmhysb','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(108,TO_DATE('1981/06/08', 'yyyy/mm/dd'),'enmbtatc vtgjkpga','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(109,TO_DATE('1991/09/11', 'yyyy/mm/dd'),'jmjtmqwj ouohmzku','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(110,TO_DATE('1990/03/02', 'yyyy/mm/dd'),'uksiixyjxhb phtiuqfmnaz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(111,TO_DATE('1994/07/08', 'yyyy/mm/dd'),'mcbmj zfrjz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(112,TO_DATE('1998/08/26', 'yyyy/mm/dd'),'pzomtkojr tvjnfmaor','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(113,TO_DATE('1992/02/14', 'yyyy/mm/dd'),'xiihjaaoqmfkmm rccdotgzvrssff','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(114,TO_DATE('1996/10/05', 'yyyy/mm/dd'),'dahvaumlzy lxuyvvysnz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(115,TO_DATE('1993/02/14', 'yyyy/mm/dd'),'eaxrspyupl rjnrhzusst','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(116,TO_DATE('1997/01/04', 'yyyy/mm/dd'),'dnefhmdbgyveem vrvezksalbricx','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(117,TO_DATE('1989/12/11', 'yyyy/mm/dd'),'ugzvyppe grqvztoo','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(118,TO_DATE('1993/12/01', 'yyyy/mm/dd'),'yvyubnamdng olsshnedlmd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(119,TO_DATE('1973/09/27', 'yyyy/mm/dd'),'eqyqonakeup blyjitpsgfn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(120,TO_DATE('1996/04/06', 'yyyy/mm/dd'),'sbdzpwklyhgmye pzvidivxvohckc','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(121,TO_DATE('1999/05/29', 'yyyy/mm/dd'),'vwbhkpzykc gtklwtcxji','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(122,TO_DATE('1981/01/30', 'yyyy/mm/dd'),'uybnkvzelwqwyc wkpwqigdswxtmn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(123,TO_DATE('1997/01/29', 'yyyy/mm/dd'),'eqtlzr ukbobj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(124,TO_DATE('1994/07/24', 'yyyy/mm/dd'),'cfabjcec bywoykpi','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(125,TO_DATE('1993/02/14', 'yyyy/mm/dd'),'tzqjywnfcibkfl yusasbndyzlnjy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(126,TO_DATE('1994/10/12', 'yyyy/mm/dd'),'jsgmnfhhryhuw dalzozqoqchkj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(127,TO_DATE('1971/05/09', 'yyyy/mm/dd'),'snevmidl uglabkds','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(128,TO_DATE('1985/12/03', 'yyyy/mm/dd'),'ointozbvbdtzaz njcaenwvyobhtd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(129,TO_DATE('1998/10/27', 'yyyy/mm/dd'),'klnfcrwovtry gghicwjzaeow','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(130,TO_DATE('1974/04/25', 'yyyy/mm/dd'),'dphoszqhw ovntuezfw','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(131,TO_DATE('1978/10/17', 'yyyy/mm/dd'),'vmtankbji inoplfugd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(132,TO_DATE('1991/07/24', 'yyyy/mm/dd'),'eufdflohyrrwrh upktnyrdxgybnu','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(133,TO_DATE('1970/06/12', 'yyyy/mm/dd'),'ooknzuxpigmxma xiddcpbbclrxyr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(134,TO_DATE('1973/05/19', 'yyyy/mm/dd'),'dteuhrhzhep iekrgjjwodq','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(135,TO_DATE('1997/08/24', 'yyyy/mm/dd'),'wfafajmlge jyzfybvwmd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(136,TO_DATE('1980/06/11', 'yyyy/mm/dd'),'ltsrsoazik tzfkrhblpf','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(137,TO_DATE('1971/03/18', 'yyyy/mm/dd'),'bwesjwsiy tiedesfoq','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(138,TO_DATE('1975/07/22', 'yyyy/mm/dd'),'lqdeokjqj lmabaptcd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(139,TO_DATE('1994/03/04', 'yyyy/mm/dd'),'qqyqaqomc jxwflyosm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(140,TO_DATE('1999/06/27', 'yyyy/mm/dd'),'zwtxumomifjcnp ojghbboyaoqfsk','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(141,TO_DATE('1972/12/04', 'yyyy/mm/dd'),'cliqs bwypo','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(142,TO_DATE('1992/05/21', 'yyyy/mm/dd'),'vufccgwjaoebe btktzkaliqdcn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(143,TO_DATE('1977/07/09', 'yyyy/mm/dd'),'ezknmnuq qpximzbp','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(144,TO_DATE('1995/09/10', 'yyyy/mm/dd'),'lqguicazf kffnvegyd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(145,TO_DATE('1981/12/14', 'yyyy/mm/dd'),'jnujnfpavcueoo wkpiufmwkrfqlm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(146,TO_DATE('1984/06/20', 'yyyy/mm/dd'),'awpypwpqhwrjt dyqtqqegjkcpy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(147,TO_DATE('1970/08/14', 'yyyy/mm/dd'),'dhpuxtt rvsdxba','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(148,TO_DATE('1999/10/13', 'yyyy/mm/dd'),'rxjcajcfafy ntgwucbbkmk','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(149,TO_DATE('1998/01/18', 'yyyy/mm/dd'),'ldmvfbbchgbhud imzbuwasnyinim','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(150,TO_DATE('1973/04/06', 'yyyy/mm/dd'),'kgzpacntprntwf myndzwqndufmzj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(151,TO_DATE('1976/08/01', 'yyyy/mm/dd'),'botukiqraajgh cvgudvrpoqmfm','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(152,TO_DATE('1984/02/05', 'yyyy/mm/dd'),'dgtdpcawincfed enpxrymnuohubr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(153,TO_DATE('1991/12/05', 'yyyy/mm/dd'),'blluavkte elxibugnv','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(154,TO_DATE('1981/12/30', 'yyyy/mm/dd'),'azqtkxvnzx gbjikvkwao','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(155,TO_DATE('1986/10/15', 'yyyy/mm/dd'),'xjkrdfrg jduzxspb','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(156,TO_DATE('1997/09/27', 'yyyy/mm/dd'),'mmatjtksngul lcwdafoqwdnl','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(157,TO_DATE('1971/05/21', 'yyyy/mm/dd'),'dzpfbcrzvg zqkdpddbke','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(158,TO_DATE('1996/04/27', 'yyyy/mm/dd'),'toxnmexkmxntzo ppfvcchvytrgeg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(159,TO_DATE('1983/12/04', 'yyyy/mm/dd'),'ylpiqzazj zdwlikbmf','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(160,TO_DATE('1992/06/19', 'yyyy/mm/dd'),'eieerypdtuwpj hzdmwgnoafrvn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(161,TO_DATE('1980/05/03', 'yyyy/mm/dd'),'pbowkglte gfiqkgkpy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(162,TO_DATE('1989/02/18', 'yyyy/mm/dd'),'mevxnzazcxbo wryohykzrxaw','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(163,TO_DATE('1993/07/29', 'yyyy/mm/dd'),'ufalxlomqlky rmckpbfwsdcx','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(164,TO_DATE('1983/02/17', 'yyyy/mm/dd'),'iiurqiin qobrozoh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(165,TO_DATE('1993/04/25', 'yyyy/mm/dd'),'lfadhx aqujwj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(166,TO_DATE('1974/01/22', 'yyyy/mm/dd'),'aiskyondaal mnutvixsppy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(167,TO_DATE('1979/01/09', 'yyyy/mm/dd'),'hefdmrznmzme fimuizstgtqw','m');
